dataset = CIFAR10
model = SortHybridModel(depth=7,width=5120,hidden=512,scalar=True,dropout=0.6)
loss = ce_hinge(lam0=1.0,lam_end=0.01)
p_start = 8.0
p_end = 1000.0
eps_train = 0.03451
eps_test = 0.03137
eps_smooth = 0.4
epochs = 0,500,200,2950,3000
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 3
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(32, 32), padding=3)
    RandomHorizontalFlip(p=0.5)
    ToTensor()
    Normalize(mean=[0.4914 0.4822 0.4465], std=[0.2009, 0.2009, 0.2009])
)
SortHybridModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=3072, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
  )
  (fc_linear): BoundSequential(
    (0): BoundLinear(in_features=5120, out_features=512, bias=True)
    (1): BoundTanh()
  )
  (fc_final): BoundFinalLinear(in_features=512, out_features=10, bias=True)
)
number of params:  123213323
Epoch 95:  train loss 1.2266   train acc 0.5815   worst 0.5680   lr 0.0200   p 8.00   eps 0.0012   mix 1.0000   time 8.88
Epoch 96:  train loss 1.2322   train acc 0.5812   worst 0.5675   lr 0.0199   p 8.00   eps 0.0013   mix 1.0000   time 8.85
Epoch 97:  train loss 1.2343   train acc 0.5812   worst 0.5672   lr 0.0199   p 8.00   eps 0.0014   mix 1.0000   time 8.95
Epoch 98:  train loss 1.2332   train acc 0.5820   worst 0.5689   lr 0.0199   p 8.00   eps 0.0014   mix 1.0000   time 8.89
Epoch 99:  train loss 1.2299   train acc 0.5805   worst 0.5656   lr 0.0199   p 8.00   eps 0.0015   mix 1.0000   time 8.85
Epoch 100:  train loss 1.2296   train acc 0.5821   worst 0.5672   lr 0.0199   p 8.00   eps 0.0015   mix 1.0000   time 8.88
Epoch 101:  train loss 1.2296   train acc 0.5809   worst 0.5651   lr 0.0199   p 8.00   eps 0.0016   mix 1.0000   time 8.87
Epoch 102:  train loss 1.2329   train acc 0.5822   worst 0.5661   lr 0.0199   p 8.00   eps 0.0017   mix 1.0000   time 8.81
Epoch 103:  train loss 1.2333   train acc 0.5812   worst 0.5640   lr 0.0199   p 8.00   eps 0.0017   mix 1.0000   time 8.87
Epoch 104:  train loss 1.2313   train acc 0.5832   worst 0.5655   lr 0.0199   p 8.00   eps 0.0018   mix 1.0000   time 8.86
Epoch 105:  train loss 1.2354   train acc 0.5820   worst 0.5642   lr 0.0199   p 8.00   eps 0.0019   mix 1.0000   time 8.83
Epoch 106:  train loss 1.2336   train acc 0.5849   worst 0.5665   lr 0.0199   p 8.00   eps 0.0019   mix 1.0000   time 8.87
Epoch 107:  train loss 1.2340   train acc 0.5822   worst 0.5637   lr 0.0199   p 8.00   eps 0.0020   mix 1.0000   time 8.87
Epoch 108:  train loss 1.2338   train acc 0.5818   worst 0.5630   lr 0.0199   p 8.00   eps 0.0021   mix 1.0000   time 8.91
Epoch 109:  train loss 1.2342   train acc 0.5813   worst 0.5621   lr 0.0199   p 8.00   eps 0.0022   mix 1.0000   time 8.84
Epoch 110:  train loss 1.2347   train acc 0.5854   worst 0.5655   lr 0.0199   p 8.00   eps 0.0022   mix 1.0000   time 8.83
Epoch 111:  train loss 1.2324   train acc 0.5837   worst 0.5631   lr 0.0199   p 8.00   eps 0.0023   mix 1.0000   time 8.83
Epoch 112:  train loss 1.2315   train acc 0.5847   worst 0.5641   lr 0.0199   p 8.00   eps 0.0024   mix 1.0000   time 8.90
Epoch 113:  train loss 1.2298   train acc 0.5854   worst 0.5650   lr 0.0199   p 8.00   eps 0.0025   mix 1.0000   time 8.91
Epoch 114:  train loss 1.2344   train acc 0.5834   worst 0.5614   lr 0.0199   p 8.00   eps 0.0026   mix 1.0000   time 8.87
Epoch 115:  train loss 1.2312   train acc 0.5846   worst 0.5627   lr 0.0199   p 8.00   eps 0.0027   mix 1.0000   time 8.88
Epoch 116:  train loss 1.2365   train acc 0.5861   worst 0.5636   lr 0.0199   p 8.00   eps 0.0028   mix 1.0000   time 8.79
Epoch 117:  train loss 1.2327   train acc 0.5860   worst 0.5640   lr 0.0199   p 8.00   eps 0.0029   mix 1.0000   time 8.92
Epoch 118:  train loss 1.2326   train acc 0.5877   worst 0.5637   lr 0.0199   p 8.00   eps 0.0030   mix 1.0000   time 8.86
